day	hour	qqq	value
4	8	Austin Ejide;Dario Vido?i?;Igor Akinfeev;Jerry Bengtson;Mathew Ryan	50
4	9	Blaise Matuidi;Christian Noboa	20
4	10	Augusto Fernandez;Fernando Gago;Vincent Kompany	30
4	11	Dany Nounkeu;Enner Valencia;Lee Keun-ho	30
4	12	Blerim D?emaili;Hiroki Sakai;Miguel Angel Ponce;Ricardo Alvarez;Valentin Stocker	50
4	13	Claudio Bravo	10
4	14	Kim Shin-wook;Loic Feudjou	20
4	15	Steven Defour	10
4	16	Shinji Okazaki	10
4	17	Charles Aranguiz;Shkodran Mustafi	20
4	18	Divock Origi	10
4	19	Carlos Gruezo;Han Kook-young;Hector Herrera;Valon Behrami	40
4	20	Nabil Ghilas	10
4	21		0
4	22	David Luiz;Jasper Cillessen;John Obi Mikel;Viktor Fayzulin	40
4	23	John Boye;Kyle Beckerman;Michael Arroyo;Sammir	40
4	24	Jan Vertonghen;Patrick Pemberton	20
4	25	Raphael Varane;Rais M'Bolhi	20
4	26		0
4	27	Georgi Shchennikov	10
4	28	Juan Mata	10
4	29	Alejandro Bedoya;Domagoj Vida	20
4	30		0
5	1	Beto;Darijo Srna;Leonardo Bonucci	30
5	2	Alireza Haghighi;Maynor Figueroa	20
5	3	Ben Foster;Ezequiel Lavezzi;Noel Valladares	30
5	4	Cesc Fabregas;Fernandinho	20
5	5	Frickson Erazo;Raul Jimenez	20
5	6	Dani Alves;Dries Mertens;Mateo Kova?i?	30
5	7		0
5	8	Andrea Barzagli	10
5	9	Johnny Herrera	10
5	10	Adam Lallana;Allan Nyom;Emilio Izaguirre;Emmanuel Emenike	40
5	11	Andres Iniesta;Giovani dos Santos;Miguel Veloso;Thibaut Courtois	40
5	12	Erik Durm;Fabrice Olinga;Marcelo	30
5	13	Asmir Avduki?;Romelu Lukaku;Yaya Toure	30
5	14	Hassan Yebda;Mickael Landreau;Oliver Zelenika	30
5	15	Carl Medjani;James Holland;Jasmin Fejzi?;Medhi Lacen;Patrice Evra	50
5	16	Ricardo Costa	10
5	17	Christian Bolanos;Igor Denisov;Rafa Silva;Teofilo Gutierrez	40
5	18	Diego Perez;Yuya Osako	20
5	19	Andrea Pirlo;Diego Forlan;Joe Hart;Victor Ibarbo	40
5	20	Iker Casillas;Stephane Mbia	20
5	21	Mario Mand?uki?;Masato Morishige	20
5	22	Arturo Vidal;Carlos Valdes;Didier Ya Konan;Tranquillo Barnetta;Vladimir Granat	50
5	23	Hugo Almeida;Theofanis Gekas	20
5	24	DaMarcus Beasley;Victor Bernardez	20
5	25		0
5	26	Juan Guillermo Cuadrado;Luis Neto;Yuri Lodygin	30
5	27	Celso Borges;Gervinho	20
5	28	Ji Dong-won	10
5	29	Hernanes;Jean Makoun	20
5	30	Steven Gerrard	10
5	31		0
6	1	David Myrie;Javier Hernandez;Samuel Inkoom	30
