day	hour	qqq	value
3	17	Edin D?eko (Bosnia and Herzegovina), Fraser Forster (England), Raul Meireles (Portugal), Shinji Kagawa (Japan), Yeltsin Tejeda (Costa Rica)	16
3	18	Gordon Schildenfeld (Croatia), Stefanos Kapino (Greece)	4
3	19	Aleksandr Kokorin (Russia), Kolo Toure (Ivory Coast), Mohamed Zemmamouche (Algeria)	6
3	20	Eiji Kawashima (Japan), Fernando Torres (Spain), Jo (Brazil), Marcos Rojo (Argentina), Nicolas Lombaerts (Belgium)	16
3	21	Antoine Griezmann (France), Jordi Alba (Spain), Nicolas Lodeiro (Uruguay)	6
3	22	none	0
3	23	Ejike Uzoenyi (Nigeria), Eyong Enoh (Cameroon), Maxim Choupo-Moting (Cameroon)	6
3	24	Andrei Semyonov (Russia), Benoit Assou-Ekotto (Cameroon), Gabriel Achilier (Ecuador), Ramires (Brazil)	8
3	25	Diego Calvo (Costa Rica), Martin Silva (Uruguay)	4
3	26	none	0
3	27	Atsuto Uchida (Japan), Manuel Neuer (Germany), Nicolas N'Koulou (Cameroon)	6
3	28	Mensur Mujd?a (Bosnia and Herzegovina)	2
3	29	Carlos Pena (Mexico), Timothy Chandler (United States)	4
3	30	Sergio Ramos (Spain)	2
3	31	Giovanni Sio (Ivory Coast)	2
4	1	none	0
4	2	Arthur Boka (Ivory Coast), Carlos Salcido (Mexico), Lee Bum-young (South Korea), Miralem Pjani? (Bosnia and Herzegovina)	8
4	3	Jose Maria Basanta (Argentina), Karim Ansarifard (Iran), Tim Krul (Netherlands)	6
4	4	Manabu Sait? (Japan), Sami Khedira (Germany)	4
4	5	none	0
4	6	Fatau Dauda (Ghana)	2
4	7	Martin Caceres (Uruguay), William Carvalho (Portugal)	4
4	8	Austin Ejide (Nigeria), Dario Vido?i? (Australia), Igor Akinfeev (Russia), Jerry Bengtson (Honduras), Mathew Ryan (Australia)	16
4	9	Blaise Matuidi (France), Christian Noboa (Ecuador)	4
4	10	Augusto Fernandez (Argentina), Fernando Gago (Argentina), Vincent Kompany (Belgium)	6
4	11	Dany Nounkeu (Cameroon), Enner Valencia (Ecuador), Lee Keun-ho (South Korea)	6
4	12	Blerim D?emaili (Switzerland), Hiroki Sakai (Japan), Miguel Angel Ponce (Mexico), Ricardo Alvarez (Argentina), Valentin Stocker (Switzerland)	16
4	13	Claudio Bravo (Chile)	2
4	14	Kim Shin-wook (South Korea), Loic Feudjou (Cameroon)	4
4	15	Steven Defour (Belgium)	2
4	16	Shinji Okazaki (Japan)	2
4	17	Charles Aranguiz (Chile), Shkodran Mustafi (Germany)	4
4	18	Divock Origi (Belgium)	2
4	19	Carlos Gruezo (Ecuador), Han Kook-young (South Korea), Hector Herrera (Mexico), Valon Behrami (Switzerland)	8
4	20	Nabil Ghilas (Algeria)	2
4	21	none	0
4	22	David Luiz (Brazil), Jasper Cillessen (Netherlands), John Obi Mikel (Nigeria), Viktor Fayzulin (Russia)	8
4	23	John Boye (Ghana), Kyle Beckerman (United States), Michael Arroyo (Ecuador), Sammir (Croatia)	8
4	24	Jan Vertonghen (Belgium), Patrick Pemberton (Costa Rica)	4
4	25	Raphael Varane (France), Rais M'Bolhi (Algeria)	4
4	26	none	0
4	27	Georgi Shchennikov (Russia)	2
4	28	Juan Mata (Spain)	2
4	29	Alejandro Bedoya (United States), Domagoj Vida (Croatia)	4
4	30	none	0
5	1	Beto (Portugal), Darijo Srna (Croatia), Leonardo Bonucci (Italy)	6
5	2	Alireza Haghighi (Iran), Maynor Figueroa (Honduras)	4
5	3	Ben Foster (England), Ezequiel Lavezzi (Argentina), Noel Valladares (Honduras)	6
5	4	Cesc Fabregas (Spain), Fernandinho (Brazil)	4
5	5	Frickson Erazo (Ecuador), Raul Jimenez (Mexico)	4
5	6	Dani Alves (Brazil), Dries Mertens (Belgium), Mateo Kova?i? (Croatia)	6
5	7	none	0
5	8	Andrea Barzagli (Italy)	2
5	9	Johnny Herrera (Chile)	2
5	10	Adam Lallana (England), Allan Nyom (Cameroon), Emilio Izaguirre (Honduras), Emmanuel Emenike (Nigeria)	8
5	11	Andres Iniesta (Spain), Giovani dos Santos (Mexico), Miguel Veloso (Portugal), Thibaut Courtois (Belgium)	8
5	12	Erik Durm (Germany), Fabrice Olinga (Cameroon), Marcelo (Brazil)	6
5	13	Asmir Avduki? (Bosnia and Herzegovina), Romelu Lukaku (Belgium), Yaya Toure (Ivory Coast)	6
5	14	Hassan Yebda (Algeria), Mickael Landreau (France), Oliver Zelenika (Croatia)	6
5	15	Carl Medjani (Algeria), James Holland (Australia), Jasmin Fejzi? (Bosnia and Herzegovina), Medhi Lacen (Algeria), Patrice Evra (France)	16
5	16	Ricardo Costa (Portugal)	2
5	17	Christian Bolanos (Costa Rica), Igor Denisov (Russia), Rafa Silva (Portugal), Teofilo Gutierrez (Colombia)	8
5	18	Diego Perez (Uruguay), Yuya Osako (Japan)	4
5	19	Andrea Pirlo (Italy), Diego Forlan (Uruguay), Joe Hart (England), Victor Ibarbo (Colombia)	8
5	20	Iker Casillas (Spain), Stephane Mbia (Cameroon)	4
5	21	Mario Mand?uki? (Croatia), Masato Morishige (Japan)	4
5	22	Arturo Vidal (Chile), Carlos Valdes (Colombia), Didier Ya Konan (Ivory Coast), Tranquillo Barnetta (Switzerland), Vladimir Granat (Russia)	16
5	23	Hugo Almeida (Portugal), Theofanis Gekas (Greece)	4
5	24	DaMarcus Beasley (United States), Victor Bernardez (Honduras)	4
5	25	none	0
5	26	Juan Guillermo Cuadrado (Colombia), Luis Neto (Portugal), Yuri Lodygin (Russia)	6
5	27	Celso Borges (Costa Rica), Gervinho (Ivory Coast)	4
5	28	Ji Dong-won (South Korea)	2
5	29	Hernanes (Brazil), Jean Makoun (Cameroon)	4
5	30	Steven Gerrard (England)	2
5	31	none	0
6	1	David Myrie (Costa Rica), Javier Hernandez (Mexico), Samuel Inkoom (Ghana)	6
6	2	Adam Taggart (Australia), Sergio Aguero (Argentina)	4
6	3	Jean Beausejour (Chile), Jose Rojas (Chile), Mario Gotze (Germany), Panagiotis Glykos (Greece), Oscar Duarte (Costa Rica)	16
6	4	Henri Bedimo (Cameroon), Lorenzo Insigne (Italy), Lukas Podolski (Germany)	6
6	5	Alexander Dominguez (Ecuador), Zvjezdan Misimovi? (Bosnia and Herzegovina)	4
6	6	Julian Green (United States)	2
6	7	none	0
6	8	Javier Mascherano (Argentina), Maxi Pereira (Uruguay)	4
6	9	Masoud Shojaei (Iran), Miroslav Klose (Germany), Sokratis Papastathopoulos (Greece), Wesley Sneijder (Netherlands), Yoshito ?kubo (Japan)	16
6	10	Steve von Bergen (Switzerland), Vasilis Torosidis (Greece)	4
6	11	none	0
6	12	Eugene Galekovi? (Australia), Mauricio Isla (Chile)	4
6	13	Andreas Samaris (Greece), Keisuke Honda (Japan)	4
6	14	Ben Halloran (Australia), Joao Rojas (Ecuador), Kostas Manolas (Greece)	6
6	15	Sayouba Mande (Ivory Coast)	2
6	16	Fernando Muslera (Uruguay)	2
6	17	Alan Dzagoev (Russia), Jordan Henderson (England), Nick Rimando (United States)	6
6	18	Islam Slimani (Algeria), Shusaku Nishikawa (Japan)	4
6	19	none	0
6	20	Asmir Begovi? (Bosnia and Herzegovina), Aurelien Chedjou (Cameroon), Frank Lampard (England), Sead Kola?inac (Bosnia and Herzegovina), Vasili Berezutski (Russia)	16
6	21	Cheick Tiote (Ivory Coast), Faryd Mondragon (Colombia), Kostas Katsouranis (Greece)	6
6	22	Cristopher Toselli (Chile)	2
6	23	none	0
6	24	Harrison Afful (Ghana), Lionel Messi (Argentina)	4
6	25	Miguel Layun (Mexico)	2
6	26	Joel Campbell (Costa Rica)	2
6	27	Gokhan Inler (Switzerland), Hugo Campagnaro (Argentina), Hwang Seok-ho (South Korea), Jordy Clasie (Netherlands), Jose Holebas (Greece), Matthew ?piranovi? (Australia)	29
6	28	Kevin De Bruyne (Belgium)	2
6	29	Jason Davidson (Australia)	2
6	30	Fredy Guarin (Colombia)	2
7	1	none	0
7	2	Lee Chung-yong (South Korea)	2
7	3	James Troisi (Australia)	2
7	4	none	0
7	5	Ashkan Dejagah (Iran), Dejan Lovren (Croatia)	4
7	6	none	0
7	7	Alberto Aquilani (Italy)	2
7	8	Juan Carlos Paredes (Ecuador), Kwak Tae-hwi (South Korea), Son Heung-min (South Korea)	6
7	9	DeAndre Yedlin (United States)	2
7	10	Park Chu-young (South Korea)	2
7	11	Alexander Mejia (Colombia), Geoff Cameron (United States), Orestis Karnezis (Greece)	6
7	12	Antonio Cassano (Italy), Ghasem Haddadifar (Iran), James Rodriguez (Colombia), Luke Shaw (England)	8
7	13	Guillermo Ochoa (Mexico), Jonathan Mensah (Ghana)	4
7	14	Maksim Kanunnikov (Russia), Sergei Ignashevich (Russia)	4
7	15	Peter Odemwingie (Nigeria)	2
