day	hour	qqq	value
9	9	Alex Song;Brad Guzan;Luka Modri?;Oscar	7
9	10	Andre Almeida;Ivan Franjic;Laurent Koscielny;Muhamed Be?i?	7
9	11	Jordan Ayew	2
9	12	Junior Diaz;Kim Chang-soo;Yuto Nagatomo	5
9	13	Jonathan de Guzman;Luis Lopez;Thomas Muller	5
9	14	Ivica Oli?;Juwon Oshaniwa;Khosro Heydari	5
9	15		0
9	16	Hossein Mahini	2
9	17	Uche Nwofor	2
9	18	Alfredo Talavera	2
9	19	Diego Reyes;Eduardo;Majeed Waris;Sergey Ryzhikov	7
9	20	Julian Draxler;Reza Ghoochannejhad;Waylon Francis	5
9	21	Ante Rebi?	2
9	22	Thiago Silva	2
9	23	Bakhtiar Rahmani	2
9	24		0
9	25	Massimo Luongo;Reuben Gabriel	4
9	26	Senijad Ibri?i?	2
9	27	Granit Xhaka;Stephane Ruffier	4
9	28	Andres Guardado;Jorge Guagua;Mathieu Valbuena;Stephen Adams	7
9	29	Per Mertesacker	2
9	30	Cristian Rodriguez;Cristian Zapata;Kim Seung-gyu;Olivier Giroud	7
10	1		0
10	2	Mikkel Diskerud;Nacer Chadli	4
10	3	Fred;Jackson Martinez;Jorge Valdivia;Michel Vorm	7
10	4	Michael Barrantes	2
10	5	Kevin Mirallas	2
10	6	Hotaru Yamaguchi;Kim Bo-kyung	4
10	7	Diego Costa;Javad Nekounam;Madjid Bougherra;Sebastian Coates	7
10	8	Felipe Gutierrez;Sejad Salihovi?	4
10	9	Djamel Mesbah	2
10	10	Ahmad Alenemeh;Ezequiel Garay;Xherdan Shaqiri	5
10	11	Jean-Daniel Akpa-Akpro;Omar Gonzalez	4
10	12	Christian Stuani;Giannis Maniatis;Shola Ameobi	5
10	13		0
10	14	Ahmed Musa;Henrique	4
10	15	Mesut Ozil	2
10	16	Marcelo Brozovi?;Rony Martinez	4
10	17	Constant Djakpa;Kenneth Omeruo	4
10	18	Daniel Opare;Dante;Efe Ambrose	5
10	19		0
10	20	Francisco Javier Rodriguez;Luis Saritama;Mattia De Sciglio	5
10	21		0
10	22	Aissa Mandi	2
10	23		0
10	24	Anthony Vanden Borre;Cristian Gamboa;Ognjen Vranje?;Wayne Rooney	7
10	25	Esteban Granados;Roger Espinoza	4
10	26	Juan Pablo Montes	2
10	27	Danijel Suba?i?	2
10	28		0
10	29	Sylvain Gbohouo;Alvaro Gonzalez	4
10	30		0
10	31		0
11	1	Jerry Palacios	2
11	2	Charles Itandje;Diego Lugano;Pablo Armero	5
11	3	Jermaine Jones;Marvin Chavez	4
11	4		0
11	5	Luis Garrido;Marco Verratti	4
11	6	Andre Schurrle;Jozy Altidore	4
11	7	David de Gea;Serey Die	4
11	8	Brad Davis;Morgan Schneiderlin	4
11	9		0
11	10	Aron Johannsson;Mattia Perin	4
11	11	Georginio Wijnaldum;Philipp Lahm	4
11	12	Benjamin Moukandjo;Hiroshi Kiyotake;Ignazio Abate	5
11	13	Nigel de Jong	2
11	14	Mathis Bolly;Roman Burki;Thomas Vermaelen	5
11	15		0
11	16	Aleksei Kozlov	2
11	17	Nani	2
11	18		0
11	19	Jorge Fucile	2
11	20	Edder Delgado;Eduardo Vargas	4
11	21		0
11	22	Asamoah Gyan;Chris Smalling;Marouane Fellaini	5
11	23		0
11	24	Jeremain Lens;Mario Gavranovi?;Nabil Bentaleb;Roy Miller	7
11	25	El Arbi Hillel Soudani;Xabi Alonso	4
11	26	Danny Welbeck;Giorgos Tzavellas	4
11	27	Aleksandr Kerzhakov;Bruno Alves	4
11	28	Brayan Beckeles;Chigozie Agbim;Landry N'Guemo;Alvaro Pereira	7
11	29		0
11	30	Max Gradel;Miiko Albornoz	4
12	1	Daniel Cambronero	2
12	2	Danijel Pranji?;Emmanuel Agyemang-Badu;Gaston Ramirez;Matteo Darmian	7
12	3	David Villa;Michael Essien	4
12	4		0
12	5	Ross Barkley	2
12	6	Tim Cahill	2
12	7		0
12	8	Raheem Sterling	2
12	9	Kwadwo Asamoah	2
12	10	Gonzalo Higuain;Tommy Oar;Wilfried Bony;Oscar Bagui	7
12	11	Fabian Johnson;Leighton Baines	4
12	12	Adam Kwarasey;Ramon Azeez;Victor Moses	5
12	13	Albert Adomah;Santi Cazorla	4
12	14	Didier Zokora;Juan Camilo Zuniga	4
12	15	Keylor Navas;Toni ?unji?	4
12	16	Mats Hummels;Maximo Banguera	4
12	17	Andre Ayew;Yann Sommer	4
12	18	Rashid Sumaila	2
12	19	Alexis Sanchez;Gary Cahill;Karim Benzema;Lazaros Christodoulopoulos	7
12	20	Fabian Schar;Martin Demichelis;Ognjen Vukojevi?	5
12	21	Giannis Fetfatzidis;Ousmane Viera	4
12	22	Eder	2
12	23		0
12	24	Lee Yong;Michael Babatunde;Serge Aurier	5
12	25	Ogenyi Onazi	2
12	26	Hugo Lloris;Sofiane Feghouli	4
12	27		0
12	28		0
12	29		0
12	30	Boubacar Barry;Marcelo Diaz	4
12	31	Mohammed Rabiu	2
