day	hour	qqq	value
1	1	Egidio Arevalo Rios;Essaid Belkalem;Jack Wilshere	5
1	2	Jefferson;Loic Remy;Maxi Rodriguez	5
1	3	Yoichiro Kakitani	2
1	4	James Milner;Jung Sung-ryong;Toni Kroos	5
1	5	Afriyie Acquah;Leroy Fer	4
1	6	Abel Aguilar;Daniel Davari	4
1	7	Eden Hazard	2
1	8	David Silva;Jorge Claros;Koke;Oliver Bozani?;Stipe Pletikosa	15
1	9	Cedric Si Mohamed;Juanfran	4
1	10	Christian Atsu;?ime Vrsaljko	4
1	11	Matt McKay	2
1	12	Axel Witsel;Oribe Peralta;Salvatore Sirigu	5
1	13	Mario Yepes;Santiago Arias;Sol Bamba	5
1	14	Yohan Cabaye	2
1	15	Joel Veltman	2
1	16	Pablo Zabaleta;Park Joo-ho;Reto Ziegler;Stephan Lichtsteiner	7
1	17	Hector Moreno	2
1	18	Johan Djourou;Juan Fernando Quintero;Makoto Hasebe;Senad Luli?	7
1	19	Claudio Marchisio;Matthias Ginter	4
1	20	Jose Maria Gimenez;Pierre Webo;Renato Ibarra	5
1	21	Victor	2
1	22	Adrian Ramos;Dmitri Kombarov;Hashem Beikzadeh;Rodrigo Munoz;Vincent Aboubakar	15
1	23	Arjen Robben	2
1	24	Ermin Bi?ak?i?;Ki Sung-yueng;Luis Suarez;Vieirinha	7
1	25	Marco Parolo;Pavel Mogilevets;Xavi;Yasuyuki Konno	7
1	26	Jose de Jesus Corona	2
1	27	Denis Glushakov;Fabian Orellana;Ruben Amorim	5
1	28	Chris Wondolowski;Gianluigi Buffon;John Brooks;Yasuhito End?	7
1	29		0
1	30	Lucas Biglia	2
1	31	Abdelmoumene Djabou	2
2	1	Faouzi Ghoulam;Reza Haghighi;Steven Beitashour	5
2	2	Gerard Pique;Ivan Peri?i?;Michael Uchebo;Silvestre Varela	7
2	3	Donis Escober;Jalal Hosseini	4
2	4	Mathew Leckie;Mauricio Pinilla	4
2	5	Adnan Januzaj;Cristiano Ronaldo;Loukas Vyntra;Neymar;Rodrigo Palacio;Stefan de Vrij;Vedran ?orluka	42
2	6	Carlos Sanchez	2
2	7	Daniel Van Buyten	2
2	8	Bruno Martins Indi;Giancarlo Gonzalez;Michael Lang;Yacine Brahimi	7
2	9	Andrey Yeshchenko	2
2	10		0
2	11	Francisco Silva;Javier Aquino;Mark Bresciano;Matt Besler	7
2	12	Christoph Kramer;Ron-Robert Zieler	4
2	13	Alexandros Tziolis;Eliaquim Mangala;Mamadou Sakho;Memphis Depay;Rafael Marquez;Tino-Sven Su?i?;Yun Suk-young	42
2	14	Bacary Sagna;Edinson Cavani;Jose Miguel Cubero;Philippe Senderos;Terence Kongolo;Angel di Maria	29
2	15	Fidel Martinez;Gabriel Paletta;Panagiotis Tachtsidis;Rui Patricio	7
2	16	Diego Godin;Rickie Lambert;Ron Vlaar	5
2	17	Edin Vi??a	2
2	18	Aleksei Ionov	2
2	19		0
2	20	Ciro Immobile	2
2	21	Carlos Carmona;Federico Fernandez;Georgios Samaras;Jaime Ayovi;Phil Jones;Riyad Mahrez	29
2	22	Enzo Perez;Haris Seferovi?;Jose Pedro Fuenzalida;Sergio Romero;Toshihiro Aoyama	15
2	23		0
2	24		0
2	25	Eduardo;Ehsan Hajsafi;Joao Pereira;Milan Badelj;Sammy N'Djock	15
2	26	Mehrdad Pouladi;Pepe	4
2	27	Kim Young-gwon;Koo Ja-cheol	4
2	28	Antonio Candreva;Eder Alvarez Balanta	4
2	29	Benedikt Howedes;Saphir Taider	4
3	1		0
3	2	Ha Dae-sung;Toby Alderweireld	4
3	3	Sh?ichi Gonda	2
3	4		0
3	5	Kunle Odunlami;Liassine Cadamuro-Bentaiba;Marco Urena	5
3	6	Andranik Teymourian;Avdija Vr?ajevi?;Giorgos Karagounis;Kevin-Prince Boateng;Paul Aguilar;Tim Howard	29
3	7		0
3	8	Alan Pulido;Haris Medunjanin;Juan Carlos Garcia;Rio Mavuba;Remy Cabella	15
3	9	Camilo Vargas;Clint Dempsey;Daley Blind	5
3	10	Ivan Rakiti?;Park Jong-woo;Samuel Eto'o	5
3	11	Didier Drogba;Fabio Coentrao	4
3	12	Kostas Mitroglou	2
3	13		0
3	14	G?toku Sakai;Jose Juan Vazquez	4
3	15	Paul Pogba;Edison Mendez	4
3	16	Admir Mehmedi;Andy Najar	4
3	17	Edin D?eko;Fraser Forster;Raul Meireles;Shinji Kagawa;Yeltsin Tejeda	15
3	18	Gordon Schildenfeld;Stefanos Kapino	4
3	19	Aleksandr Kokorin;Kolo Toure;Mohamed Zemmamouche	5
3	20	Eiji Kawashima;Fernando Torres;Jo;Marcos Rojo;Nicolas Lombaerts	15
3	21	Antoine Griezmann;Jordi Alba;Nicolas Lodeiro	5
3	22		0
3	23	Ejike Uzoenyi;Eyong Enoh;Maxim Choupo-Moting	5
3	24	Andrei Semyonov;Benoit Assou-Ekotto;Gabriel Achilier;Ramires	7
3	25	Diego Calvo;Martin Silva	4
3	26		0
3	27	Atsuto Uchida;Manuel Neuer;Nicolas N'Koulou	5
3	28	Mensur Mujd?a	2
3	29	Carlos Pena;Timothy Chandler	4
3	30	Sergio Ramos	2
3	31	Giovanni Sio	2
4	1		0
4	2	Arthur Boka;Carlos Salcido;Lee Bum-young;Miralem Pjani?	7
4	3	Jose Maria Basanta;Karim Ansarifard;Tim Krul	5
4	4	Manabu Sait?;Sami Khedira	4
4	5		0
4	6	Fatau Dauda	2
4	7	Martin Caceres;William Carvalho	4
4	8	Austin Ejide;Dario Vido?i?;Igor Akinfeev;Jerry Bengtson;Mathew Ryan	15
4	9	Blaise Matuidi;Christian Noboa	4
4	10	Augusto Fernandez;Fernando Gago;Vincent Kompany	5
4	11	Dany Nounkeu;Enner Valencia;Lee Keun-ho	5
4	12	Blerim D?emaili;Hiroki Sakai;Miguel Angel Ponce;Ricardo Alvarez;Valentin Stocker	15
4	13	Claudio Bravo	2
4	14	Kim Shin-wook;Loic Feudjou	4
4	15	Steven Defour	2
4	16	Shinji Okazaki	2
4	17	Charles Aranguiz;Shkodran Mustafi	4
4	18	Divock Origi	2
4	19	Carlos Gruezo;Han Kook-young;Hector Herrera;Valon Behrami	7
4	20	Nabil Ghilas	2
4	21		0
4	22	David Luiz;Jasper Cillessen;John Obi Mikel;Viktor Fayzulin	7
4	23	John Boye;Kyle Beckerman;Michael Arroyo;Sammir	7
4	24	Jan Vertonghen;Patrick Pemberton	4
4	25	Raphael Varane;Rais M'Bolhi	4
4	26		0
4	27	Georgi Shchennikov	2
4	28	Juan Mata	2
4	29	Alejandro Bedoya;Domagoj Vida	4
4	30		0
5	1	Beto;Darijo Srna;Leonardo Bonucci	5
5	2	Alireza Haghighi;Maynor Figueroa	4
5	3	Ben Foster;Ezequiel Lavezzi;Noel Valladares	5
5	4	Cesc Fabregas;Fernandinho	4
5	5	Frickson Erazo;Raul Jimenez	4
5	6	Dani Alves;Dries Mertens;Mateo Kova?i?	5
5	7		0
5	8	Andrea Barzagli	2
5	9	Johnny Herrera	2
5	10	Adam Lallana;Allan Nyom;Emilio Izaguirre;Emmanuel Emenike	7
5	11	Andres Iniesta;Giovani dos Santos;Miguel Veloso;Thibaut Courtois	7
5	12	Erik Durm;Fabrice Olinga;Marcelo	5
5	13	Asmir Avduki?;Romelu Lukaku;Yaya Toure	5
5	14	Hassan Yebda;Mickael Landreau;Oliver Zelenika	5
5	15	Carl Medjani;James Holland;Jasmin Fejzi?;Medhi Lacen;Patrice Evra	15
5	16	Ricardo Costa	2
5	17	Christian Bolanos;Igor Denisov;Rafa Silva;Teofilo Gutierrez	7
5	18	Diego Perez;Yuya Osako	4
5	19	Andrea Pirlo;Diego Forlan;Joe Hart;Victor Ibarbo	7
5	20	Iker Casillas;Stephane Mbia	4
5	21	Mario Mand?uki?;Masato Morishige	4
5	22	Arturo Vidal;Carlos Valdes;Didier Ya Konan;Tranquillo Barnetta;Vladimir Granat	15
5	23	Hugo Almeida;Theofanis Gekas	4
5	24	DaMarcus Beasley;Victor Bernardez	4
5	25		0
5	26	Juan Guillermo Cuadrado;Luis Neto;Yuri Lodygin	5
5	27	Celso Borges;Gervinho	4
5	28	Ji Dong-won	2
5	29	Hernanes;Jean Makoun	4
5	30	Steven Gerrard	2
5	31		0
6	1	David Myrie;Javier Hernandez;Samuel Inkoom	5
6	2	Adam Taggart;Sergio Aguero	4
6	3	Jean Beausejour;Jose Rojas;Mario Gotze;Panagiotis Glykos;Oscar Duarte	15
6	4	Henri Bedimo;Lorenzo Insigne;Lukas Podolski	5
6	5	Alexander Dominguez;Zvjezdan Misimovi?	4
6	6	Julian Green	2
6	7		0
6	8	Javier Mascherano;Maxi Pereira	4
6	9	Masoud Shojaei;Miroslav Klose;Sokratis Papastathopoulos;Wesley Sneijder;Yoshito ?kubo	15
6	10	Steve von Bergen;Vasilis Torosidis	4
6	11		0
6	12	Eugene Galekovi?;Mauricio Isla	4
6	13	Andreas Samaris;Keisuke Honda	4
6	14	Ben Halloran;Joao Rojas;Kostas Manolas	5
6	15	Sayouba Mande	2
6	16	Fernando Muslera	2
6	17	Alan Dzagoev;Jordan Henderson;Nick Rimando	5
6	18	Islam Slimani;Shusaku Nishikawa	4
6	19		0
6	20	Asmir Begovi?;Aurelien Chedjou;Frank Lampard;Sead Kola?inac;Vasili Berezutski	15
6	21	Cheick Tiote;Faryd Mondragon;Kostas Katsouranis	5
6	22	Cristopher Toselli	2
6	23		0
6	24	Harrison Afful;Lionel Messi	4
6	25	Miguel Layun	2
6	26	Joel Campbell	2
6	27	Gokhan Inler;Hugo Campagnaro;Hwang Seok-ho;Jordy Clasie;Jose Holebas;Matthew ?piranovi?	29
6	28	Kevin De Bruyne	2
6	29	Jason Davidson	2
6	30	Fredy Guarin	2
7	1		0
7	2	Lee Chung-yong	2
7	3	James Troisi	2
7	4		0
7	5	Ashkan Dejagah;Dejan Lovren	4
7	6		0
7	7	Alberto Aquilani	2
7	8	Juan Carlos Paredes;Kwak Tae-hwi;Son Heung-min	5
7	9	DeAndre Yedlin	2
7	10	Park Chu-young	2
7	11	Alexander Mejia;Geoff Cameron;Orestis Karnezis	5
7	12	Antonio Cassano;Ghasem Haddadifar;James Rodriguez;Luke Shaw	7
7	13	Guillermo Ochoa;Jonathan Mensah	4
7	14	Maksim Kanunnikov;Sergei Ignashevich	4
7	15	Peter Odemwingie	2
7	16	Azubuike Egwuekwe;Michael Umana;Mousa Dembele;Sergio Busquets	7
7	17		0
7	18	Carlo Costly;Eugenio Mena	4
7	19	Aleksandr Samedov;Kevin Groskreutz	4
7	20	Lucas Digne	2
7	21	Johnny Acosta;Marco Fabian	4
7	22	Daryl Janmaat;Dirk Kuyt	4
7	23	Alessio Cerci;Luiz Gustavo;Walter Gargano	5
7	24	Daniele De Rossi	2
7	25	Carlos Carbonero;Hulk;Paulinho;Wakaso Mubarak	7
7	26	Agustin Orion;Maicon;Oswaldo Minda;Panagiotis Kone	7
7	27		0
7	28	Bailey Wright;Mathieu Debuchy;Pedro	5
7	29	Oleg Shatov;Osman Chavez;Wilson Palacios	5
7	30	Mariano Andujar;Mario Martinez;Rahman Ahmadi	5
7	31	Michael Bradley	2
8	1	Bastian Schweinsteiger;Esteban Paredes	4
8	2	Helder Postiga	2
8	3	Gary Medel;Mile Jedinak	4
8	4	Antonio Valencia;Izet Hajrovi?;Mark Milligan	5
8	5	Laurent Ciman;Salomon Kalou	4
8	6	Robin van Persie;Roman Weidenfeller;Simon Mignolet;Vedad Ibi?evi?	7
8	7		0
8	8	Abel Hernandez;Josip Drmi?;Joel Matip	5
8	9	Willian	2
8	10		0
8	11	Alireza Jahanbakhsh;Sammy Bossut;Walter Ayovi	5
8	12	Hong Jeong-ho;Klaas-Jan Huntelaar;Mario Balotelli	5
8	13	Alex Wilkinson;Randall Brenes	4
8	14	Giorgio Chiellini	2
8	15	Alex Oxlade-Chamberlain;Ryan McGowan	4
8	16	Anel Had?i?;Godfrey Oboabona;Moussa Sissoko	5
8	17	Edgar Salli;Phil Jagielka	4
8	18	Bryan Ruiz;Dimitris Salpingidis;Emir Spahi?;Graham Zusi	7
8	19		0
8	20	Yuri Zhirkov	2
8	21		0
8	22	Mitchell Langerak	2
8	23	Glen Johnson	2
8	24	Maya Yoshida	2
8	25	Ricardo Rodriguez	2
8	26	Vangelis Moras	2
8	27	Maxwell;Nikica Jelavi?;Sulley Muntari	5
8	28	Cedric Djeugoue;Cesar Azpilicueta;Isaac Brizuela;Ismael Diomande;Masahiko Inoha;Thiago Motta	29
8	29	Gonzalo Jara;Vincent Enyeama	4
8	30	Mehdi Mostefa	2
8	31	David Ospina;Pepe Reina	4
9	1	Daniel Sturridge;Jefferson Montero;Paul Verhaegh	5
9	2	Gelson Fernandes;Javi Martinez;Rafik Halliche	5
9	3	Jerome Boateng;Julio Cesar	4
9	4	Raul Albiol;Oscar Boniek Garcia	4
9	5	Felipe Caicedo	2
9	6	Amir Hossein Sadeghi;Joseph Yobo;Pejman Montazeri	5
9	7		0
9	8	Adrian Bone;Bernard;Carlos Bacca;Diego Benaglio;Joao Moutinho	15
